#{"t_start": 1762977699.29812, "env_id": "None"}
r,l,t
1.7,13,824.626782
-6.1,6,825.029189
-2.8,8,825.520529
-6.1,6,825.914115
0.8,12,826.510533
-7.6,6,826.921343
-4.3,13,827.523669
12.5,40,829.052988
5.9,21,829.93701
4.7,18,830.780002
-0.1,11,831.387562
-8.5,10,832.630034
10.7,23,833.592379
24.2,43,835.199705
-4.6,6,835.642755
-4.9,9,836.184384
2.9,21,837.088494
-5.2,12,837.690988
-4.3,8,838.216231
3.2,18,838.998684
2.0,15,839.708811
1.7,13,840.308303
18.5,35,841.636431
-1.6,11,842.236515
9.2,23,843.23759
8.0,20,844.122616
7.1,19,844.94056
-4.9,9,845.457608
-4.9,14,846.143189
-2.8,18,846.936402
-1.9,9,847.452673
11.0,25,848.451702
-3.4,9,848.966418
-10.9,9,849.487584
-6.4,9,849.96758
-4.6,6,850.378078
11.3,27,851.495265
6.2,18,852.306609
-0.1,16,853.012235
-1.9,9,853.511637
-3.7,7,853.987839
-7.6,6,854.393045
-4.9,9,854.908782
-4.0,10,855.410295
-5.8,8,855.916989
-2.2,12,857.55468
-0.1,11,858.058693
2.3,17,858.776312
6.2,18,859.577569
6.2,18,860.3704
8.0,20,861.187845
24.2,38,862.570819
1.7,13,863.198287
-1.9,9,863.703815
-1.9,9,864.200251
-2.8,8,864.715143
-4.3,8,865.221859
-1.6,11,865.801662
3.8,17,866.606578
-1.0,10,867.123131
-6.1,6,867.521892
8.9,21,868.439156
-2.8,8,868.926474
0.8,12,869.560903
4.7,18,870.355589
-4.6,6,870.784035
14.3,27,871.869964
-3.4,9,872.358157
50.3,67,874.76833
-2.2,12,875.367625
-4.6,6,875.788946
-4.3,8,876.259869
2.0,15,876.977753
-4.6,6,877.417391
-4.6,6,877.830974
-1.0,15,878.536544
-4.6,6,878.933442
0.5,15,879.653502
-0.4,14,880.35058
-2.8,8,880.835859
2.9,21,882.470674
-1.3,13,883.030527
4.1,19,883.853557
-4.6,6,884.276455
-1.6,11,884.858237
11.0,25,885.882021
-4.6,6,886.286405
2.6,14,886.989182
-4.6,6,887.410495
-4.6,6,887.812013
14.6,29,889.001713
12.2,28,890.084784
-6.1,6,890.494531
2.0,15,891.215923
-6.1,6,891.618371
-1.9,9,892.091266
7.7,23,893.034745
-2.8,8,893.511671
-4.6,6,893.966862
4.4,21,894.835246
-0.4,14,895.545363
8.3,22,896.448916
-1.0,10,897.035771
-4.6,6,897.455301
-3.4,9,897.942999
34.1,54,899.859424
10.7,23,900.779369
6.2,18,901.585134
5.6,19,902.38892
-4.3,8,902.908236
-0.7,12,903.523081
-4.6,6,903.985121
7.7,23,904.919619
-4.6,6,905.353505
-1.6,11,905.939557
-5.8,8,906.423145
-3.7,7,907.601848
31.1,64,909.865927
7.1,19,910.654936
-4.6,6,911.057999
-1.6,16,911.764987
-4.6,6,912.21965
1.1,14,912.862628
2.0,15,913.564787
-4.3,8,914.0661
-6.1,6,914.487994
12.5,25,915.481241
-4.3,8,915.970558
-4.6,6,916.418189
9.2,23,917.383028
-4.6,6,917.812654
-7.6,6,918.202746
-6.1,6,918.609174
20.0,35,919.942944
-1.9,9,920.42322
6.2,18,921.128803
-4.0,10,921.649328
3.8,17,922.363576
-2.2,17,923.154733
-4.0,10,923.669386
6.2,23,924.572956
-6.1,6,924.967762
4.4,16,925.706192
2.6,14,926.374367
-6.1,6,926.775142
3.8,17,927.577092
-4.9,9,928.088331
32.3,52,929.91998
2.3,17,931.493134
7.1,19,932.244678
-3.4,9,932.731735
27.8,42,934.237166
2.6,14,934.954117
5.0,25,935.952686
-6.1,6,936.368475
-0.1,11,936.965894
3.2,18,937.753069
12.5,25,938.76975
-4.6,6,939.175987
6.2,18,939.956587
-1.6,11,940.578633
30.8,47,942.278059
-7.6,6,942.682374
4.7,18,943.489887
-4.6,6,943.884874
-6.7,7,944.329438
1.7,13,944.945261
0.5,15,945.64238
-4.0,10,946.161401
-5.2,12,946.75784
-1.3,18,947.552941
-4.6,6,947.971348
6.2,18,948.780372
-1.9,9,949.281086
15.5,35,950.584939
-4.6,6,950.961064
5.3,17,951.688671
-4.9,9,952.209559
-4.6,6,952.630187
-2.8,8,953.115723
-4.6,6,953.517303
-6.1,6,953.96282
3.2,18,954.710421
9.5,25,956.417177
-1.9,9,956.919544
17.0,40,958.425971
-0.4,29,959.552355
-0.1,11,960.133402
5.3,22,961.068202
-4.6,6,961.477384
-4.3,8,961.961037
21.5,40,963.452396
-5.2,12,964.059622
-6.1,6,964.522086
-4.6,6,964.950555
0.2,13,965.571951
-4.6,6,965.977814
-0.1,16,966.694199
8.6,29,967.883659
-6.1,6,968.29285
-6.1,6,968.720605
0.8,12,969.306281
-2.8,8,969.779051
2.9,21,970.685427
-3.7,12,971.308401
3.8,22,972.292349
-3.7,12,972.910763
-1.9,9,973.394755
-7.3,13,974.020734
-3.4,9,974.520966
-3.7,7,975.005237
-6.1,6,975.413252
6.5,20,976.242628
-2.8,13,976.850178
-1.6,11,977.451104
8.6,24,978.437467
-3.7,7,978.849147
10.4,26,980.963978
0.8,12,981.478414
3.5,15,982.178359
41.0,60,984.182638
0.5,15,984.91334
-0.1,26,985.925653
4.7,23,986.828318
-4.6,6,987.240776
1.7,13,987.873288
-2.5,10,988.381755
-4.0,25,989.382651
-4.6,6,989.819721
7.4,26,990.879701
11.6,29,991.986277
5.6,19,992.790076
-4.3,13,993.396037
6.2,18,994.220318
2.3,17,994.913608
6.5,25,995.917192
-3.4,9,996.440215
-3.7,12,997.027633
-3.4,9,997.537086
11.0,30,998.648782
-6.1,11,999.231566
-4.6,6,999.697871
3.8,27,1000.762364
-2.8,13,1001.442797
-2.2,12,1002.066371
-6.4,29,1003.85903
15.5,30,1004.971236
2.9,16,1005.692857
-0.7,17,1006.492141
1.4,16,1007.278001
3.2,23,1008.198028
5.6,24,1009.204225
-6.4,9,1009.704971
3.5,15,1010.39137
-2.2,22,1011.295718
-4.9,19,1012.099954
10.7,33,1013.3077
9.5,25,1014.333105
-1.9,9,1014.82252
-3.1,16,1015.546096
36.2,63,1017.734407
7.7,23,1018.654507
-4.6,6,1019.095567
-4.6,11,1019.646154
-6.1,6,1020.046065
-3.4,9,1020.568088
-5.5,10,1021.081601
-3.1,21,1021.964803
-4.6,6,1022.392728
5.9,21,1023.269786
-0.1,11,1023.876586
-4.9,9,1024.373359
-1.9,9,1024.874736
10.1,34,1026.985326
6.5,25,1028.028963
-2.5,15,1028.734354
2.9,21,1029.622667
2.0,15,1030.329776
23.0,55,1032.350906
17.9,36,1033.742154
-4.6,6,1034.144171
-1.6,16,1034.884318
1.1,19,1035.688247
-0.7,12,1036.299992
12.8,32,1037.595315
-6.1,6,1038.05768
1.7,18,1038.819288
-1.6,11,1039.368486
5.3,22,1040.288162
3.8,17,1041.022644
20.6,34,1042.322225
-1.9,9,1042.819316
-4.6,6,1043.219112
-4.6,6,1043.675759
-4.6,6,1044.099272
13.4,31,1045.323698
6.5,20,1046.1383
0.5,15,1046.857877
18.8,37,1048.264091
3.8,17,1049.896152
-4.6,6,1050.226619
-3.7,7,1050.678821
-1.0,15,1051.358917
0.5,15,1052.081167
-3.4,9,1052.562446
-3.7,12,1053.17005
10.7,23,1054.089029
4.4,16,1054.788306
15.2,33,1056.113532
12.5,35,1057.428368
-6.1,6,1057.871799
2.6,14,1058.519039
-1.9,9,1059.042448
-2.8,8,1059.546452
-2.2,12,1060.165198
-4.6,6,1060.570479
7.1,19,1061.369295
8.9,21,1062.283081
9.8,22,1063.216377
19.4,41,1064.742437
-4.3,8,1065.220324
1.7,13,1065.851247
-2.8,8,1066.334443
-1.6,11,1066.957245
7.1,24,1067.959528
-2.5,10,1068.46978
10.1,24,1069.401433
9.2,23,1070.325943
0.8,12,1070.934246
-7.6,6,1071.343761
-1.3,13,1071.986626
2.9,16,1072.704967
-4.6,6,1073.112859
-3.4,9,1074.677731
-4.6,6,1074.979695
13.4,36,1076.296926
-3.7,7,1076.692179
10.4,26,1077.706583
-0.1,11,1078.322211
-4.6,6,1078.74561
2.0,15,1079.431619
-0.1,11,1080.015147
1.7,13,1080.643266
4.4,16,1081.34742
-6.1,6,1081.790975
22.7,38,1083.192416
0.2,23,1084.166876
-2.8,13,1084.784608
18.5,35,1086.083076
0.2,13,1086.685183
5.6,24,1087.714065
3.2,18,1088.525053
1.7,13,1089.139054
1.7,13,1089.745484
-4.6,6,1090.163952
-3.4,9,1090.657585
3.8,17,1091.36889
-0.7,12,1091.971948
11.6,24,1092.896477
-6.1,6,1093.320901
-6.1,6,1093.741543
-4.6,6,1094.159654
-4.3,8,1094.608098
3.8,17,1095.380181
-0.7,12,1095.996578
-4.6,6,1096.404183
8.0,25,1097.425323
-2.5,15,1099.137742
-4.6,6,1099.434126
-6.1,6,1099.870323
-3.4,9,1100.341601
-4.6,6,1100.755618
-3.7,7,1101.192786
2.6,19,1101.973059
5.6,19,1102.785808
-6.1,6,1103.189651
-2.2,12,1103.795199
-4.6,6,1104.22741
-2.8,8,1104.715783
-4.6,6,1105.115514
-8.5,10,1105.642435
0.8,22,1106.528512
-2.5,10,1107.032943
5.0,20,1107.886897
15.2,33,1109.165733
3.8,22,1110.084551
-6.1,6,1110.472427
1.7,13,1111.109616
-4.6,6,1111.546885
3.5,15,1112.213908
-1.0,10,1112.730809
-4.6,6,1113.132559
38.0,55,1115.112576
-6.1,6,1115.515691
-5.8,8,1116.034084
-7.6,6,1116.442275
-6.1,6,1116.882951
-7.0,10,1117.420272
-6.1,6,1117.825529
-0.4,14,1118.52417
-8.2,7,1118.931434
-1.9,9,1119.442252
-5.2,7,1119.860294
-4.3,8,1120.358538
-4.6,6,1120.789709
10.1,24,1121.757613
5.6,19,1122.581759
-0.1,11,1123.167891
8.9,21,1124.081378
-2.5,10,1125.301682
-5.5,10,1125.784491
-1.3,13,1126.38914
13.4,31,1127.601665
9.5,25,1128.627256
-4.6,6,1129.012014
12.5,25,1130.021474
-4.6,6,1130.440858
4.4,16,1131.167921
2.0,15,1131.873235
-2.8,8,1132.356912
-9.1,6,1132.764537
-3.4,9,1133.278133
-0.1,11,1133.895128
1.1,19,1134.696139
4.4,21,1135.604842
10.4,26,1136.702315
-6.1,6,1137.127672
6.2,18,1137.905908
3.5,15,1138.60229
-0.7,12,1139.212564
0.8,12,1139.821842
2.0,15,1140.536309
-4.3,8,1141.010824
-4.0,10,1141.551427
8.3,22,1142.429608
12.5,25,1143.42708
-2.5,10,1143.939238
11.0,25,1144.95049
14.3,42,1146.489494
-5.8,8,1146.964137
-1.9,9,1147.463863
-1.9,9,1147.986224
-6.1,6,1148.423973
-5.8,8,1148.883604
10.4,41,1151.086328
6.2,23,1152.086711
-0.4,24,1153.093468
-0.1,11,1153.710174
11.0,25,1154.696778
-6.1,6,1155.120437
-0.1,11,1155.700517
1.4,16,1156.441854
-1.9,9,1156.923049
-2.8,13,1157.540257
-3.4,9,1158.071523
-3.4,9,1158.594956
22.7,48,1160.300888
13.7,38,1161.719827
-1.9,9,1162.232949
0.2,13,1162.815706
-2.8,8,1163.317818
-1.9,9,1163.824818
1.1,14,1164.51953
11.6,24,1165.541689
-5.8,8,1166.016698
-1.6,11,1166.548456
-2.8,8,1167.065277
-4.6,6,1167.470831
1.1,14,1168.166899
-12.1,6,1168.574642
78.5,100,1172.711352
-4.6,6,1173.032418
-4.6,6,1173.41551
-3.4,9,1173.940863
0.8,12,1174.526107
10.4,31,1175.757028
2.3,17,1176.480099
0.8,12,1177.091292
-6.7,12,1177.69113
-3.4,9,1178.180903
4.7,18,1178.976574
5.9,21,1179.881671
-4.6,6,1180.303825
-4.3,8,1180.805169
7.1,24,1181.789366
-3.7,7,1182.21279
-2.8,8,1182.696031
3.5,15,1183.412703
-4.6,6,1183.797503
-0.7,12,1184.40574
6.2,18,1185.232471
-4.3,8,1185.740304
-4.6,6,1186.185556
1.7,13,1186.848905
-6.1,6,1187.289434
-3.7,7,1187.722466
40.7,58,1189.756598
-2.8,8,1190.238926
-6.1,6,1190.680266
0.5,15,1191.390083
-6.1,6,1191.798245
-1.6,11,1192.378074
26.3,57,1194.38759
-1.9,9,1194.907392
-4.6,6,1195.338531
-6.7,7,1195.793128
6.2,18,1196.59986
1.7,13,1197.223896
-5.2,22,1198.806847
1.7,13,1199.428859
-4.3,8,1199.92458
-4.0,10,1200.450866
4.7,18,1201.223307
-0.7,12,1201.821404
-4.6,6,1202.219166
-2.8,8,1202.738665
11.6,24,1203.747874
-6.1,6,1204.164857
33.8,52,1206.04042
9.8,22,1206.967476
-4.6,6,1207.358672
-4.9,9,1207.867367
-1.9,9,1208.357054
-1.9,9,1208.862441
-1.9,9,1209.381921
-6.1,6,1209.789031
-1.9,9,1210.291454
-2.8,8,1210.774267
-3.4,9,1211.295372
-1.9,14,1211.994155
-4.6,6,1212.40205
6.2,18,1213.178519
10.1,24,1214.118782
4.4,16,1214.825197
9.8,22,1215.757978
9.8,22,1216.65932
-1.9,9,1217.177938
12.5,25,1218.164604
12.2,28,1219.264653
-3.7,12,1219.88443
13.4,26,1220.885447
-1.0,15,1221.589814
-9.4,14,1223.009468
-0.4,19,1223.832044
-4.6,6,1224.233953
-6.1,6,1224.655711
5.3,17,1225.436208
-1.9,9,1225.942285
2.0,15,1226.630428
-2.2,12,1227.234329
41.0,65,1229.567322
17.9,36,1230.95385
6.2,23,1231.884481
-3.4,9,1232.411641
-4.6,6,1232.817292
2.6,14,1233.533753
-2.8,8,1234.018542
-7.6,6,1234.422648
-6.1,6,1234.834828
9.8,22,1235.751384
5.6,19,1236.555763
-4.0,10,1237.074896
8.6,24,1238.080783
-1.0,10,1238.584013
-4.6,6,1239.00157
-1.3,13,1239.601986
-6.1,6,1240.005632
-1.9,9,1240.437681
21.2,48,1242.158843
-0.1,11,1242.726392
2.0,15,1243.445258
5.3,17,1244.253552
-1.9,9,1244.752877
1.1,14,1245.460509
0.8,12,1246.743995
-4.6,6,1247.109307
-1.0,25,1248.15378
-5.8,8,1248.678997
-0.4,19,1249.493266
3.2,18,1250.270941
-2.2,12,1250.886379
2.6,14,1251.496328
24.2,38,1252.89724
-7.6,6,1253.340191
0.5,20,1254.223861
-2.5,10,1254.805566
-2.5,10,1255.324214
-6.1,6,1255.767081
-1.6,16,1256.511435
8.3,22,1257.428578
-2.8,8,1257.931491
-2.5,10,1258.513008
-4.6,6,1258.90972
-3.7,7,1259.344902
7.1,19,1260.129914
-10.9,9,1260.647782
-0.1,11,1261.236166
-4.9,14,1261.879812
-4.6,6,1262.284802
5.6,19,1263.074051
8.3,22,1263.995488
-5.2,12,1264.57592
-1.9,9,1265.082828
24.8,42,1266.612652
9.5,30,1267.814781
8.9,41,1269.307818
-0.4,14,1270.865622
0.5,15,1271.464945
6.8,22,1272.388261
-3.1,11,1272.994293
-4.6,6,1273.412103
6.8,22,1274.289521
0.8,12,1274.912268
-12.1,6,1275.337611
0.5,20,1276.201908
-3.4,9,1276.718081
-4.3,8,1277.221331
-4.6,6,1277.609107
-7.6,6,1278.037981
-0.1,11,1278.64095
-2.8,8,1279.128023
-7.6,6,1279.538841
3.5,15,1280.246716
10.4,26,1281.260036
-5.8,13,1281.863242
-1.9,9,1282.371791
15.2,43,1283.999571
5.3,22,1284.884911
-0.7,12,1285.490268
-6.1,6,1285.915666
4.1,19,1286.706872
-6.1,6,1287.111825
15.5,30,1288.33587
-4.6,6,1288.756614
-4.6,6,1289.153471
17.9,31,1290.388229
0.8,22,1292.494152
-1.6,11,1293.098448
5.9,21,1294.038757
0.2,13,1294.660841
-1.9,9,1295.201359
9.5,25,1298.006027
4.4,21,1298.769132
-6.1,6,1299.175123
-4.3,8,1299.608289
-0.1,11,1300.185744
4.4,16,1300.891549
26.9,46,1302.599633
-3.7,7,1303.013811
8.9,21,1303.916651
-0.4,14,1304.540258
-3.1,16,1305.246325
-4.6,6,1305.649282
3.5,20,1306.529369
0.5,20,1307.338128
-1.9,9,1307.858125
7.7,23,1308.785508
-2.8,8,1309.284425
24.5,45,1310.945463
1.7,13,1311.574546
-5.5,10,1312.07523
-1.3,13,1312.690186
-4.6,6,1313.085797
-4.3,8,1313.674072
-6.1,6,1314.093534
-4.6,6,1314.544578
20.9,41,1316.166662
1.7,13,1316.764075
-5.2,7,1317.175212
-1.0,15,1317.872161
-4.6,6,1318.289907
-0.7,12,1318.895746
-4.6,6,1319.290968
18.2,33,1320.527268
0.5,15,1321.329169
-4.3,8,1322.760365
-2.8,8,1323.195853
7.4,21,1324.066905
6.2,18,1324.88263
-6.1,6,1325.297805
0.8,12,1325.901227
-1.9,9,1326.415758
16.4,31,1327.541472
-4.6,6,1327.99286
6.5,20,1328.828307
6.2,18,1329.644893
-6.1,6,1330.056019
9.2,28,1331.186804
-6.1,11,1331.785029
-0.1,11,1332.366394
8.0,20,1333.283235
-4.6,6,1333.671298
-1.9,9,1334.171416
-1.3,13,1334.795361
-4.9,9,1335.312351
5.3,32,1336.558144
1.7,13,1337.168947
-4.6,6,1337.584837
1.1,14,1338.179868
21.5,50,1339.909208
-0.4,19,1340.707679
34.7,53,1342.47837
-2.8,8,1342.95282
4.1,19,1343.767162
-4.6,6,1344.162615
1.7,13,1344.798099
-1.9,9,1345.28991
-3.7,7,1346.79059
-4.6,6,1347.231104
5.3,17,1347.913821
-4.6,6,1348.348617
-2.8,8,1348.836231
-4.6,6,1349.233958
4.4,16,1349.941014
-4.6,6,1350.351791
0.8,12,1350.972511
-2.8,8,1351.47816
9.5,25,1352.476511
28.7,43,1354.016487
6.2,18,1354.789746
8.3,22,1355.717556
-4.6,6,1356.141497
1.7,13,1356.758502
11.3,27,1357.849146
15.5,30,1359.073777
13.7,28,1360.15468
-3.7,7,1360.591438
-0.1,11,1361.173914
-2.8,8,1361.668193
-4.6,6,1362.113445
7.4,21,1362.99361
9.8,22,1363.89197
9.2,23,1364.805017
-4.9,9,1365.310708
-4.6,6,1365.728523
2.6,14,1366.405562
2.0,15,1367.111333
-1.9,9,1367.615328
0.8,12,1368.241566
-2.8,8,1368.729155
5.3,17,1369.431723
4.4,16,1370.138388
-6.1,6,1370.542723
-4.6,6,1371.784926
-4.6,6,1372.157953
-0.1,11,1372.754883
-4.6,6,1373.196729
-2.8,8,1373.658794
0.8,12,1374.276455
3.5,15,1374.981405
-2.8,8,1375.459357
-0.1,11,1376.080466
-10.6,6,1376.492045
-4.6,6,1376.915514
0.5,15,1377.602129
-2.8,8,1378.086166
6.5,25,1379.023103
4.4,16,1379.716408
-6.1,6,1380.140792
0.8,12,1380.699869
-6.1,6,1381.124868
-2.8,8,1381.622745
-1.9,9,1382.120035
-4.6,6,1382.557893
-5.8,8,1383.01928
0.8,12,1383.630758
2.6,14,1384.338193
-4.6,6,1384.742869
-2.8,8,1385.244323
11.0,25,1386.266072
-0.7,12,1386.851716
29.6,49,1388.676225
-0.7,12,1389.266386
-1.9,9,1389.778633
-2.8,8,1390.291405
-1.9,9,1390.795867
-1.6,11,1391.382945
-3.4,9,1391.889196
-1.9,9,1392.412644
-4.3,8,1392.901793
-4.6,6,1393.306272
19.7,43,1394.907541
-4.6,6,1395.310639
-4.6,6,1395.71384
2.0,15,1396.434863
3.5,15,1397.129778
-4.6,6,1397.604339
-11.2,7,1398.864375
0.2,13,1399.469792
-4.3,8,1399.992183
5.3,17,1400.735383
-2.2,12,1401.302974
13.7,33,1402.5493
-2.8,8,1403.048882
4.4,16,1403.748968
-1.9,9,1404.26579
-0.1,11,1404.877046
8.0,20,1405.744596
11.6,44,1407.284926
-6.1,6,1407.708758
16.7,33,1409.008805
-4.9,9,1409.513892
10.1,24,1410.496228
-1.0,15,1411.204866
4.4,16,1411.930869
4.1,19,1412.756731
-4.6,6,1413.192539
5.0,20,1414.037872
-3.4,9,1414.527961
-3.7,7,1414.963172
0.2,13,1415.573224
-0.4,14,1416.273729
7.4,21,1417.185351
-0.1,11,1417.791618
2.6,14,1418.501808
-4.9,9,1419.002638
7.7,23,1420.004382
19.1,34,1421.306874
-4.6,6,1421.751824
-7.6,6,1422.159436
-15.1,11,1423.446252
19.7,33,1424.725034
-4.6,6,1425.128941
-1.9,9,1425.635517
-4.6,6,1426.037941
-6.1,6,1426.482086
-2.2,17,1427.271241
2.0,15,1427.953457
-4.6,6,1428.367372
6.2,18,1429.165506
-6.4,9,1429.688365
-4.3,8,1430.17913
12.5,25,1431.185369
-6.1,6,1431.562411
-1.6,11,1432.1148
-2.5,10,1432.624267
3.5,15,1433.3264
-3.4,9,1433.82255
-0.7,12,1434.445367
-2.8,8,1434.93039
-2.2,12,1435.550579
-3.1,11,1436.132741
-6.1,6,1436.532325
-4.6,6,1436.977085
-3.4,9,1437.451152
7.1,19,1438.256702
-6.1,11,1438.872087
-7.6,6,1439.29534
3.5,15,1439.996657
-1.9,9,1440.487108
23.9,41,1442.013315
1.7,13,1442.695434
3.5,25,1443.728132
0.2,18,1444.509177
8.6,24,1445.506041
-1.0,15,1446.215247
1.4,21,1447.14002
-4.6,11,1447.710521
-14.5,10,1449.055375
13.4,31,1450.253441
-2.8,8,1450.774023
-4.6,6,1451.220918
-3.1,11,1451.775748
-2.8,8,1452.281737
-0.1,11,1452.863981
-6.1,6,1453.287491
17.6,34,1454.597465
12.5,40,1456.091625
-6.1,6,1456.536037
23.6,39,1457.931738
-3.4,9,1458.40679
7.7,23,1459.340896
7.1,19,1460.151805
2.9,16,1460.852791
2.0,15,1461.56179
-5.2,7,1461.979581
3.5,15,1462.6592
-4.6,6,1463.081029
3.5,15,1463.761358
-0.7,12,1464.363905
-5.8,13,1465.005637
-18.7,17,1465.780711
8.3,22,1466.724017
-4.6,6,1467.163991
-3.7,7,1467.588648
-4.6,6,1467.994614
-1.9,9,1468.515779
-4.6,6,1468.955904
5.9,26,1470.005899
-2.8,8,1470.504267
29.0,45,1472.130378
-12.4,14,1473.544011
-4.6,6,1473.969234
1.1,14,1474.626898
29.0,50,1476.366093
-0.1,11,1476.943728
1.7,13,1477.567496
14.6,29,1478.662014
-2.8,8,1479.179485
8.0,20,1480.058813
6.2,18,1480.873305
-3.1,11,1481.476104
-4.6,6,1481.915986
5.3,17,1482.676016
18.2,33,1483.97132
-3.7,7,1484.41361
-4.6,6,1484.859382
3.5,15,1485.599195
-1.6,11,1486.18541
-0.7,12,1486.785381
8.3,22,1487.684952
12.2,28,1488.805242
-7.6,6,1489.208427
-4.6,6,1489.594746
4.4,16,1490.311474
8.9,21,1491.245641
11.0,25,1492.245123
-4.6,6,1492.702667
-4.3,8,1493.168816
0.8,12,1493.742379
8.9,21,1494.562801
-4.6,6,1494.949162
7.1,19,1495.775042
-1.9,9,1496.255134
-5.2,7,1497.678566
6.8,22,1498.505176
-1.9,9,1498.996822
-2.2,12,1499.583333
3.5,25,1500.595496
-4.6,6,1500.994323
-1.3,13,1501.601353
-4.0,10,1502.141834
-1.6,11,1502.716834
-6.1,6,1503.14197
-5.2,17,1503.923845
6.2,18,1504.726037
18.2,38,1506.132562
-1.9,9,1506.643355
-9.7,12,1507.250726
-4.6,6,1507.671163
-2.8,8,1508.154292
1.4,16,1508.860521
-3.4,9,1509.361778
4.4,21,1510.288396
-4.6,11,1510.887174
-1.9,9,1511.371895
2.9,21,1512.271186
1.7,13,1512.885342
-4.6,6,1513.314512
8.9,21,1514.201995
-4.6,6,1514.598254
5.9,21,1515.50118
0.5,15,1516.224261
-4.6,6,1516.666639
-4.6,6,1517.054303
-4.3,8,1517.521444
-5.5,15,1518.223909
-2.8,8,1518.726482
-5.2,12,1519.330133
2.6,14,1520.043662
-4.6,6,1520.41137
-6.7,7,1520.831846
-4.6,6,1521.239376
6.5,20,1522.064257
-2.8,8,1522.549906
-11.8,13,1523.868521
-7.6,6,1524.310552
-4.0,10,1524.888563
-0.1,11,1525.473433
-0.7,12,1526.073503
1.1,14,1526.69156
7.4,21,1527.585261
-4.6,6,1528.052714
0.2,13,1528.707445
2.9,16,1529.398417
3.5,20,1530.314894
16.1,34,1531.614859
1.7,13,1532.228705
-4.3,8,1532.64689
5.0,20,1533.532924
-7.9,9,1534.054451
-1.6,11,1534.637548
9.2,23,1535.665131
-1.9,14,1536.36916
-0.1,16,1537.174547
-2.8,8,1537.6761
0.8,12,1538.256572
7.7,23,1539.170406
-3.4,9,1539.671003
11.9,26,1540.674816
-3.4,9,1541.180649
-1.9,9,1541.67867
0.2,13,1542.286383
4.1,19,1543.129542
21.2,38,1544.611072
-2.5,10,1545.187675
-3.7,7,1545.616928
-6.1,6,1546.030417
-0.7,22,1546.944037
-4.6,6,1547.349615
-3.7,7,1547.834181
-2.8,8,1549.176433
-0.1,16,1549.87519
0.2,13,1550.494411
-4.6,6,1550.914418
0.5,20,1551.742897
-11.5,15,1552.450598
2.6,14,1553.131189
-2.5,10,1553.663214
-4.6,6,1554.110873
7.1,34,1555.41093
-4.3,8,1555.882244
-7.6,6,1556.309595
-6.1,6,1556.714811
-4.6,6,1557.120835
-4.9,9,1557.605891
-0.7,12,1558.230015
-0.4,14,1558.915281
-1.6,21,1559.803343
-6.1,6,1560.209823
9.2,23,1561.136106
-4.3,8,1561.618536
-4.6,6,1562.020324
-3.4,9,1562.539446
-9.1,6,1562.980129
-4.0,20,1563.830563
-0.7,12,1564.431185
-0.4,14,1565.048477
8.0,25,1566.060781
-1.3,18,1566.849535
-4.6,6,1567.267999
-6.1,6,1567.709341
8.0,30,1568.891208
-3.4,9,1569.398341
-2.2,12,1569.987106
-4.3,8,1570.485704
-4.6,6,1570.891155
13.4,41,1572.424028
-0.7,12,1573.009141
2.6,14,1574.473615
-0.4,14,1575.013609
-4.6,6,1575.421671
7.1,19,1576.228752
-6.1,6,1576.658021
1.4,21,1577.56114
7.1,19,1578.380422
3.5,15,1579.082415
-5.2,12,1579.702051
-5.8,8,1580.164268
-2.8,13,1580.782724
9.2,23,1581.712989
-6.1,6,1582.122864
-0.4,19,1582.914982
-2.8,8,1583.41725
-4.6,6,1583.859055
4.4,16,1584.534356
0.8,12,1585.141472
-4.0,10,1585.660951
-5.8,8,1586.155152
-2.8,8,1586.647488
4.1,24,1587.5858
-0.1,11,1588.174014
-4.6,6,1588.617244
-3.7,7,1589.062677
-5.2,7,1589.474647
-2.8,8,1589.976675
17.3,32,1591.187405
-4.6,6,1591.61833
4.4,16,1592.305322
-6.1,6,1592.732096
-6.1,6,1593.137598
2.3,22,1594.018705
-6.4,9,1594.525352
-4.6,6,1594.931546
5.6,19,1595.753748
-1.9,9,1596.25504
7.4,21,1597.144264
-4.6,6,1597.545663
11.0,25,1598.563756
3.2,18,1600.213557
-0.7,17,1600.89637
-4.6,6,1601.283083
-0.7,12,1601.891675
-2.8,8,1602.376165
-1.6,16,1603.07784
-4.6,6,1603.484774
-0.7,12,1604.116982
14.9,36,1605.446482
23.6,44,1607.064414
-4.3,8,1607.543077
2.0,15,1608.229498
4.7,23,1609.149108
5.0,25,1610.147694
-0.7,12,1610.757618
8.6,24,1611.714996
-4.6,6,1612.107936
-2.8,8,1612.617612
-4.6,6,1613.036597
-1.6,11,1613.608633
10.1,24,1614.632312
5.3,17,1615.409029
-7.0,10,1615.922671
-2.8,8,1616.398492
0.8,12,1617.026921
15.2,28,1618.125441
12.5,25,1619.136456
-5.2,7,1619.550626
13.1,34,1620.857676
-4.6,6,1621.359288
8.0,20,1622.178861
-6.1,6,1622.603809
-4.0,10,1623.202657
-6.1,6,1623.629448
5.6,39,1625.744413
-4.6,6,1626.119883
14.6,29,1627.246264
-2.8,8,1627.726588
2.0,15,1628.42703
-4.0,15,1629.1364
12.5,30,1630.266842
-7.6,6,1630.669742
-4.6,6,1631.08917
-2.5,10,1631.587263
-4.9,9,1632.088374
-9.1,6,1632.525941
-6.1,6,1632.96876
-1.9,9,1633.508967
6.8,22,1634.394758
